Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface
p,P-1A,Ethernet2,pe,PE-1A,Ethernet2
p,P-1A,Ethernet3,p,P-2A,Ethernet3
p,P-1A,Ethernet6,p,P-1B,Ethernet6
p,P-1B,Ethernet2,pe,PE-1B,Ethernet2
p,P-1B,Ethernet3,p,P-4A,Ethernet3
p,P-1B,Ethernet4,p,P-3A,Ethernet4
p,P-1B,Ethernet6,p,P-1A,Ethernet6
p,P-2A,Ethernet2,pe,PE-2,Ethernet4
p,P-2A,Ethernet3,p,P-1A,Ethernet3
p,P-2A,Ethernet5,other,GW2,Ethernet1
p,P-2A,Ethernet6,p,P-2B,Ethernet6
p,P-2B,Ethernet2,pe,PE-2,Ethernet5
p,P-2B,Ethernet3,p,P-3A,Ethernet3
p,P-2B,Ethernet4,p,P-4A,Ethernet4
p,P-2B,Ethernet6,p,P-2A,Ethernet6
p,P-3A,Ethernet2,pe,PE-3,Ethernet4
p,P-3A,Ethernet3,p,P-2B,Ethernet3
p,P-3A,Ethernet4,p,P-1B,Ethernet4
p,P-3A,Ethernet6,p,P-3B,Ethernet6
p,P-3B,Ethernet2,pe,PE-3,Ethernet5
p,P-3B,Ethernet3,p,P-4B,Ethernet3
p,P-3B,Ethernet5,other,GW3,Ethernet1
p,P-3B,Ethernet6,p,P-3A,Ethernet6
p,P-4A,Ethernet2,pe,PE-4A,Ethernet2
p,P-4A,Ethernet3,p,P-1B,Ethernet3
p,P-4A,Ethernet4,p,P-2B,Ethernet4
p,P-4A,Ethernet6,p,P-4B,Ethernet6
p,P-4B,Ethernet2,pe,PE-4B,Ethernet2
p,P-4B,Ethernet3,p,P-3B,Ethernet3
p,P-4B,Ethernet6,p,P-4A,Ethernet6
pe,PE-1A,Ethernet2,p,P-1A,Ethernet2
pe,PE-1B,Ethernet2,p,P-1B,Ethernet2
pe,PE-2,Ethernet4,p,P-2A,Ethernet2
pe,PE-2,Ethernet5,p,P-2B,Ethernet2
pe,PE-3,Ethernet4,p,P-3A,Ethernet2
pe,PE-3,Ethernet5,p,P-3B,Ethernet2
pe,PE-4A,Ethernet2,p,P-4A,Ethernet2
pe,PE-4B,Ethernet2,p,P-4B,Ethernet2
